2013/11/30,WIND_SPEED,1.4,0.9,0.7,0.9,0.8,0.7,1.3,0.7,1.4,2.1,1.3,1.4,1.5,1.5,1.7,2.9,1.9,0.7,0.9,1,1.1,0.9,0.7,1
2013/12/1,PM10,115,111,93,74,55,56,48,43,37,40,42,46,49,50,62,90,112,109,97,91,89,91,89,88
2013/12/1,PM2.5,105,103,94,72,49,40,37,32,35,31,35,35,43,55,60,63,62,64,58,54,54,52,53,51
2013/12/1,WIND_DIREC,81,103,52,27,35,41,28,45,33,29,16,27,26,349,12,4,20,22,33,41,27,47,29,10
2013/12/1,WIND_SPEED,0.6,0.4,0.7,0.9,1.6,1.8,1.2,1.9,2.5,2,2,2.4,2.2,2.2,3.8,3.4,3.3,2.4,1.3,1.2,1.9,1.8,1.3,1.1
2013/12/2,PM10,83,77,74,73,67,58,49,55,53,56,49,64,65,65,52,63,88,121,134,141,135,134,121,116
2013/12/2,PM2.5,50,43,41,39,42,45,47,35,36,33,42,38,46,46,44,44,58,70,75,79,82,93,89,89
2013/12/2,WIND_DIREC,132,32,223,74,26,16,30,127,44,38,13,311,242,27,355,9.9,322,244,359,176,184,121,110,115
2013/12/2,WIND_SPEED,0.5,0.8,0.5,0.5,1.2,0.6,0.8,0.6,0.8,1,1.2,1.4,1.2,1.3,1.4,2.9,2,0.6,0.4,1.1,1,0.6,0.9,0.9
2013/12/3,PM10,102,97,81,65,54,43,47,63,66,62,50,54,65,71,114,146,170,173,166,179,178,174,157,139
2013/12/3,PM2.5,75,66,58,53,42,33,33,32,27,22,31,37,39,41,81,104,128,106,106,110,120,118,108,108
2013/12/3,WIND_DIREC,83,70,27,32,64,31,26,44,25,35,40,29,4.9,358,0.8,28,29,20,104,156,50,102,125,42
2013/12/3,WIND_SPEED,0.6,0.7,0.8,0.8,1,1,1.6,1.8,1.3,1.2,1.7,1.8,1,2.2,2.6,2.7,1.8,1.6,0.7,0.5,0.5,0.5,1.5,1
2013/12/4,PM10,124,103,95,90,81,65,64,73,71,59,50,0,63,75,83,83,81,92,108,130,128,118,97,79
